DET	0.54028436019
BAL	0.562314540059
MIA	0.565365025467
JAC	0.566284779051
NO	0.568862275449
SD	0.574626865672
NE	0.580542264753
OAK	0.591433278418
IND	0.610662358643
CLE	0.611111111111
PIT	0.616026711185
NYG	0.639291465378
ATL	0.651685393258
TEN	0.664855072464
DEN	0.666115702479
PHI	0.6961414791
SF	0.717803030303
NYJ	0.721854304636
HOU	0.73182552504
GB	0.734835355286
WAS	0.745519713262
DAL	0.757115749526
ARI	0.75763016158
TB	0.827715355805
STL	0.883720930233
CHI	0.88380952381
KC	0.888655462185
CIN	0.896825396825
SEA	0.9836400818
MIN	1.0154185022
CAR	1.018
BUF	1.06008583691
